id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,it,route_dir,route_flag,route_sn,route_dist,route_code
18447,2022-08-02 14:17:51,2022-08-02 14:19:24,2022-08-02 14:19:21,2022-08-02 07:24:20,113.9915,22.599560999999998,0,120,42279.6,,2,0,1,522,202
8345,2022-08-02 15:16:15,2022-08-02 15:16:18,2022-08-02 15:16:15,2022-08-02 06:48:47,113.994041,22.604021,20,208,54611.7,0.0,2,1,12,838,201
8371,2022-08-02 15:16:14,2022-08-02 15:16:17,2022-08-02 15:16:14,2022-08-02 13:47:56,113.991767,22.602018,12,209,74919.1,0.0,1,1,5,280,202
8470,2022-08-02 15:16:14,2022-08-02 15:16:15,2022-08-02 15:16:14,2022-08-02 14:49:09,113.990829,22.603431,18,255,61941.2,0.0,1,0,14,142,201
18447,2022-08-02 15:16:21,2022-08-02 15:16:24,2022-08-02 15:16:21,2022-08-02 07:24:20,113.99883999999999,22.608247,18,333,42288.2,0.0,2,1,1,1070,202
8267,2022-08-02 15:37:06,2022-08-02 15:37:12,2022-08-02 15:37:06,2022-08-02 13:27:52,113.996017,22.602899,18,92,75427.4,0.0,1,1,6,170,201
8421,2022-08-02 15:37:11,2022-08-02 15:37:14,2022-08-02 15:37:11,2022-08-02 14:24:29,113.99823700000002,22.606002,11,268,66062.6,0.0,1,0,2,132,201
8470,2022-08-02 15:35:51,2022-08-02 15:37:09,2022-08-02 15:37:07,2022-08-02 14:49:09,113.99744399999999,22.610748,0,302,61945.6,0.0,2,0,13,0,201
18447,2022-08-02 15:37:09,2022-08-02 15:37:12,2022-08-02 15:37:09,2022-08-02 07:24:20,113.99753500000001,22.610576000000002,8,259,42292.5,0.0,2,0,6,0,202
8267,2022-08-02 14:35:46,2022-08-02 14:35:52,2022-08-02 14:35:46,2022-08-02 13:27:52,113.995925,22.596487,24,37,75419.9,,2,1,5,539,201
8330,2022-08-02 14:35:58,2022-08-02 14:36:02,2022-08-02 14:35:58,2022-08-02 11:58:18,113.991134,22.603494,24,263,70793.2,,1,1,13,158,201
8345,2022-08-02 14:36:02,2022-08-02 14:36:02,2022-08-02 14:36:02,2022-08-02 06:48:47,113.99859599999999,22.608613000000002,22,337,54602.3,,2,1,12,257,201
8371,2022-08-02 14:35:59,2022-08-02 14:36:03,2022-08-02 14:35:59,2022-08-02 13:47:56,113.995269,22.603136,24,139,74910.0,,1,0,6,254,201
